Strasse,PLZ,Ort,Korregierte Adresse
Hauptstrasse 3,01809,Heidenau,"Hauptstrasse 3, 1809 Heidenau"
Gerhard-Hauptmann-Str. 1,03044,Cottbus,"Gerhart-Hauptmann-Str. 1, 03044 Cottbus"
EKZ im Saalepark,06254,Leipzig-Günthersdorf,"Merseburger Straße 1, 06237 Leuna"
Nebraer Tor 5,06268,Querfurt,"Nebraer Tor 5, 6268 Querfurt"
Löbstedter Strasse 1a,07749,Jena,"Löbstedter Strasse 1a, 07749 Jena"
Karl-Marx-Strasse 231-235,12055,Berlin-Neukölln,"Karl-Marx-Strasse 231-235, 12055 Berlin-Neukölln"
Hamburger Allee 141d,19063,Schwerin,"Hamburger Allee 141d, 19063 Schwerin"
Beim Strohhause 8,20097,Hamburg-Berliner Tor,"Beim Strohhause, 820097 Hamburg"
Neuer Kamp 31,20359,Hamburg-St. Pauli,"Neuer Kamp 31, 20359 Hamburg-St. Pauli"
Willingshusener Weg 1,22113,Hamburg-Oststeinbek,"Willinghusener Weg 12, 2113 Oststeinbek"
Karpendieck 3,23970,Wismar-Hornstorf,"Karpendiek 3, 23970 Hornstorf
"
Friedrich-Paffrath-Str. 2,26389,Wilhelmshaven,"Friedrich-Paffrath-Str. 2, 26389 Wilhelmshaven"
Glückauf-/Osterstrasse,26506,Norden,"Glückauf 1-3, 26506 Norden"
Fischteichweg 7,26603,Aurich,"Fischteichweg 7, 26603 Aurich"
Fritz-Reuter-Strasse 2a,26721,Emden,"Fritz-Reuter-Strasse 2a, 26721 Emden"
Atenser Allee 108,26954,Nordenham,"Atenser Allee 108, 26954 Nordenham"
Heidkamp 25,27721,Platjenwerbe,"Heidkamp 25, 27721 Platjenwerbe"
Seestr. 5,27751,Delmenhorst,"Seestr. 5, 27751 Delmenhorst"
Reinersweg 2,27751,Delmenhorst,"Reinersweg 2, 27751 Delmenhorst"
Duckwitzstr. 55,28199,Bremen,"Duckwitzstr. 55, 28199 Bremen"
Vahrer Str. 197,28329,Bremen,"Vahrer Str. 197, 28329 Bremen"
Zur Hasselklink 3 - 5,29229,Celle,"Zur Hasselklink 3 - 5, 29229 Celle"
Hildesheimer Str. 413,30519,Hannover-Wülfel,"Hildesheimer Str. 41, 31226 Peine"
"
Am Markt 7",30853,"
Langenhagen","Marktplatz 7, 30853 Langenhagen"
Johann-Koch-Str. 2,30982,Pattensen,"Johann-Koch-Str. 2, 30982 Pattensen"
Gottlieb-Daimler-Str. 27,35398,Gießen,"Gottlieb-Daimler-Str. 27, 35398 Gießen"
Hörnsheimer Eck,35578,Wetzlar,"Hörnsheimer Eck, 35578 Wetzlar"
Berliner Strasse 53,38104,Braunschweig,"Berliner Strasse 53, 38104 Braunschweig"
Konrad-Adenauer-Allee 111,38226,Salzgitter,"Konrad-Adenauer-Strasse 111, 38226 Salzgitter"
Porscheplatz 1 - 3,38259,Salzgitter Bad,"Porschestraße, 138259 Salzgitter"
Am Wasserwerk 3,38304,Wolfenbüttel,"Am Wasserwerk 3, 38304 Wolfenbüttel"
Hehlinger Strasse 21,38446,Wolfsburg,"Hehlinger Strasse 21, 38446 Wolfsburg"
Nürnberger Str. 40,40599,Düsseldorf-Reisholz,"Nürnberger Str. 40, 40599 Düsseldorf"
Am Sandbach 30,40878,Ratingen,"Am Sandbach 30, 40878 Ratingen"
Antwerpener Str. 4,41812,Erkelenz,"Antwerpener Str. 4, 41812 Erkelenz"
Elberfelder Str. 8,42285,Wuppertal,"Elberfelder Str. 8, 42285 Wuppertal"
Zur Fliethe 8,42489,Wülfrath,"Zur Fliethe 8, 42489 Wülfrath"
Friedenstr. 64,42699,Solingen,"Friedenstr. 64, 42699 Solingen"
Wulfshofstrasse,44149,Dortmund-Oespel,"Wulfshofstrasse, 44149 Dortmund-Oespel"
Porscheplatz 2,45127,Essen,"Porscheplatz 2, 45127 Essen"
Ulrichstr. 10,45891,Gelsenkirchen,"Ulrichstr. 10, 45891 Gelsenkirchen"
Rudolf-Diesel-Str. 32-36,51149,Köln-Porz,"Rudolf-Diesel-Str. 32-36, 51149 Köln-Porz"
Stixchesstr. 123,51377,Leverkusen,"Stixchesstr. 123, 51377 Leverkusen"
Elsassstr. 139,52068,Aachen,"Elsassstr. 139, 52068 Aachen"
Mosel-Einkaufs-Zentrum,54344,Kenn,"Mosel-Einkaufs-Zentrum, 54344 Kenn"
Rheinallee 120,55120,Mainz,"Rheinallee 120, 55120 Mainz"
Weberstrasse 15,55130,Mainz-Weisenau,"Weberstraße 15, 55130 Mainz"
Nahering 3,55218,Ingelheim,"Nahering 3, 55218 Ingelheim"
Schwabenheimer Weg 3,55543,Bad Kreuznach,"Schwabenheimer Weg 3, 55543 Bad Kreuznach"
Westtangente 3,55566,Bad Sobernheim,"Westtangente 3, 55566 Bad Sobernheim"
Eiserfelder Str. 170,57072,Siegen,"Eiserfelder Str. 170, 57072 Siegen"
Freiligrathstr. 51,58099,Hagen,"Freiligrathstr. 51, 58099 Hagen"
Annenstr. 133,58453,Witten,"Annenstr. 133, 58453 Witten"
Töddinghauser Str. 141,59192,Bergkamen,"Töddinghauser Str. 141, 59192 Bergkamen"
Robert-Bosch-Str. 15,63303,Dreieich/ Sprendlingen,"Robert-Bosch-Straße 15, 63303 Dreieich"
Wingertstrasse 39-43,63477,Maintal/ Dörnigheim,"Wingertstrasse 39-43, 63477 Maintal/ Dörnigheim"
Eschollbrücker Str. 44,64295,Darmstadt,"Eschollbrücker Str. 44, 64295 Darmstadt"
Eberstädter Strasse 200,64319,Pfungstadt,"Eberstädter Strasse 200, 64319 Pfungstadt"
Mainzer Strasse 50,64521,Groß-Gerau,"Mainzer Strasse 50, 64521 Groß-Gerau"
Röntgenstr. 1-3,64846,Groß Zimmern,"Röntgenstr. 1-3, 64846 Groß Zimmern"
Mainzer Str. 110,65189,Wiesbaden II,"Mainzer Str. 110, 65189 Wiesbaden"
Äppelallee 69,65203,Wiesbaden I,"Äppelallee 69, 65203 Wiesbaden"
Flörsheimer Str. 2,65479,Raunheim,"Flörsheimer Str. 2, 65479 Raunheim"
Robert-Bosch-Str.,66424,Homburg,"Robert-Bosch-Str., 66424 Homburg"
Poststr. 1,66450,Bexbach,"Poststr. 1, 66450 Bexbach"
Kirkeler Str. 50,66538,Neunkirchen,"Kirkeler Str. 50, 66538 Neunkirchen"
Prälat-Caire-Strasse 7,67071,Ludwigshafen,"Prälat-Caire-Strasse 7, 67071 Ludwigshafen"
Spreewaldallee 38-40,68309,Mannheim,"Spreewaldallee 38-40, 68309 Mannheim"
Mannheimer Landstr. 2,68782,Brühl,"Mannheimer Landstr. 2, 68782 Brühl"
Friedrich-Liszt-Strasse 3,72488,Sigmaringen,"Friedrich-List-Straße 3, 72488 Sigmaringen"
Justus-von-Liebig-Strasse 3,72770,Reutlingen,"Justus-von-Liebig-Strasse 3, 72770 Reutlingen"
Ortenbergstr. 8,76135,Karlsruhe/ Bulach,"Ortenbergstr. 8, 76135 Karlsruhe/ Bulach"
Durlacher Allee 111,76137,Karlsruhe,"Durlacher Allee 111, 76137 Karlsruhe"
Huttenkreuzstrasse 8,76275,Ettlingen,"Huttenkreuzstrasse 8, 76275 Ettlingen"
Dammühlstrasse 11,76829,Landau,"Dammühlstrasse 11, 76829 Landau"
Im Wasgau-Zentrum,76865,Rohrbach,"Hauptstraße 93, 76865 Rohrbach"
Vimbucher Strasse 75,77815,Bühl-Vimbuch,"Vimbucher Strasse 75, 77815 Bühl-Vimbuch"
Bergstrasse 30,78166,Donaueschingen,"Bergstrasse 30, 78166 Donaueschingen"
Georg-Fischer-Strasse 15,78224,Singen,"Georg-Fischer-Strasse 15, 78224 Singen"
Gundelfinger Str. 4,79108,Freiburg,"Gundelfinger Str. 4, 79108 Freiburg"
Maria-Probst-Str. 6,80939,München,"Maria-Probst-Str. 6, 80939 München"
Machtlfingerstrasse 4,81379,München-Süd,"Machtlfinger Str. 4, 81379 München"
Kaltenmoser Strasse 28,82362,Weilheim,"Kaltenmoser Strasse 28, 82362 Weilheim"
Kufsteiner Strasse 124,83026,Rosenheim,"Kufsteiner Strasse 124, 83026 Rosenheim"
Lindhofstrasse 10,84307,Eggenfelden,"Lindhofstrasse 10, 84307 Eggenfelden"
Elbestrasse 32,84459,Mühldorf,"Elbestrasse 32, 84459 Mühldorf"
Gutenbergstrasse 2,85354,Freising,"Gutenbergstrasse 2, 85354 Freising"
Fraunhofer Strasse 8,87700,Memmingen,"Fraunhofer Strasse 8, 87700 Memmingen"
Franz-Beer-Strasse 108,88250,Weingarten,"Franz-Beer-Strasse 108, 88250 Weingarten"
Industriestrasse 7,97076,Würzburg,"Industriestrasse 7, 97076 Würzburg"
Nürnberger Str. 12,97076,Würzburg,"Nürnberger Str. 12, 97076 Würzburg"
Straße,PLZ,Wal-Mart SuperCenter,Volle_Adresse
